Sport,Club,,,
Archery,Armidale Archers,,,
Archery,Bellingen Archers,,,
Archery,Coast Archers,,,
Golf,Sydney Golf Club,,,
Golf,Wollombi Archibald Golf Club,,,
Kendo,ANU Kendo Club,,,
Cricket,Indian Australian Multicultural Sports Association,,,
Boccia,Hunter Boccia Club,,,
Archery,Sydney Olympic Park Archery Club,,,
Cricket,CAM Youth Association,,,
Judo,Cobar Judo Club,,,
Wheelchair Basketball,Temora Recreation,,,
Football,Verdi FC,,,
Australian Rules Football (AFL),Arneham Crows Football CLub,,,
Motorsport,Acacia HIll MX Club,,,
Athletics,Katherine Athletics Club,,,
Croquet,Headland-Buderim Croquet Club,,,
Baseball,Northern Jets Baseball Club and Baseball Association Townsville,,,
Equestrian,Far Noth Equestrian Group,,,
Weightlifting,Sunshine Coast Weightlifing Club,,,
Athletics,Normanton Athletics Club,,,
Orienteering,Range Runners Club,,,
Badminton,Sturt Badminton Club,,,
AusCycling,Copper Coast BMX Inc.,,,
Surf Life Saving,Boat Harbour Life Saving Club,,,
Softball,Northern Tasmanian Softball Association,,,
Tennis,Kaniva Community Tennis Centre,,,
Special Olympics,Melbourne Eastern Range Special Olympics,,,
Rowing,Nagambie Rowing Club,,,
Surfing,Point Londsdale Boardriders club,,,
Bowls,Sea Lake Golf Bowls Club,,,
Motorsport,Wangaratta City Speedway,,,
Shooting,"Melbourne Gun Club,",,,
Football,Bunbury United Soccer Club,,,
Shooting,Pistol Shooting,,,
Basketball,Karratha Cyclones ,,,
Surf Life Saving,Broome Surf Life Saving Club,,,
Karate,Avon Valley Shotokan,,,
Dance,Para and Ability Dance WA,,,
Bowls,Como Bowling Club,,,
Fencing,UWA Fencing,,,
Rugby Union,SVNS,,,